episode,score,target_score,sum_dones,env_done,collision
56,333.21933747036593,46.9431146198815,3,True,False
57,295.6663646086783,42.67126395980615,3,True,False
58,271.85500642513193,30.776014839400798,3,True,False
59,294.6704276827105,38.80423487510851,3,True,False
60,290.5555088797137,38.5722708364747,3,True,False
61,275.0488071716477,39.82153875307069,3,True,False
62,317.6707280766959,31.36862470054273,3,True,False
63,279.2780629633806,25.662613326888394,3,True,False
64,122.02892587946877,65.67613062763735,2,False,False
65,336.7351714995997,35.58083355489189,3,True,False
66,296.31251635125113,47.605716148875665,3,True,False
67,269.610811581364,37.1244457953042,3,True,False
68,184.7428883829413,51.55702984409358,2,False,False
69,295.7039981148365,50.47449578492944,3,True,False
70,294.1284697320367,33.377253042635104,3,True,False
71,301.6369695902507,32.53634552990953,3,True,False
72,274.21664871265955,34.65851481789737,3,True,False
73,286.23286828361313,31.209395621419063,3,True,False
74,277.7823347647184,27.66745745034466,3,True,False
75,-44.78735761663131,30.078782610863414,-2,False,True
76,304.6586634426063,39.429755382773436,3,True,False
77,138.69105719208937,48.48453450279173,2,False,False
78,308.53475985249656,35.09343249124234,3,True,False
79,272.02667587700245,41.383974742912585,3,True,False
80,-65.46127333191248,52.73426071823658,-2,False,True
81,156.24296338265842,34.44152048932043,1,False,False
82,-25.25374029399056,49.74891135580335,-2,False,True
83,359.8587444855283,41.88484504976283,3,True,False
84,276.5785578880625,19.699197421405962,3,True,False
85,283.82792941033176,38.16825105305294,3,True,False
86,310.4045061377544,35.651752627699935,3,True,False
87,276.54466194356115,21.61359916017312,3,True,False
88,291.50986359194343,45.86121823649598,3,True,False
89,282.06783379260895,39.00070412831884,3,True,False
90,290.0596032897544,60.19459751977686,3,True,False
91,298.06442804059236,51.487686315670196,3,True,False
92,354.33391195343313,44.57082815586341,3,True,False
93,284.9193243979229,23.52885008557135,3,True,False
94,281.7758849416255,50.19489829108277,3,True,False
95,285.28335351136303,18.00351134625956,3,True,False
96,105.1221823044021,62.534819314444995,2,False,False
97,283.34788369271587,36.87663059096389,3,True,False
98,317.2802361159879,43.65492106760746,3,True,False
99,297.65374938136085,31.58186756291991,3,True,False
100,297.5015324464318,32.57008412920362,3,True,False
101,283.3235644977443,54.95436109311081,3,True,False
102,276.5014111091547,28.980620955812572,3,True,False
103,305.46142207788455,44.24694315467367,3,True,False
104,292.0681694093123,29.080362389777058,3,True,False
105,291.35175551063844,54.81611350835364,3,True,False
106,342.5879431125761,53.61583093362374,3,True,False
107,318.7243754933395,53.475959090482846,3,True,False
108,283.19248105526367,39.42737847621114,3,True,False
109,148.0006665659518,42.83864710281598,2,False,False
110,314.56418170439,26.361144141668685,3,True,False
111,292.0834257990469,31.123633652365736,3,True,False
112,292.57792925764915,40.44455516143661,3,True,False
113,305.7099783088362,43.6745556509318,3,True,False
114,279.002546692376,44.81744599975016,3,True,False
115,332.07729594104296,43.075910720341426,3,True,False
116,317.27624996458496,56.28275702927414,3,True,False
117,261.87734901830925,26.67651353162037,3,True,False
118,273.0269690245497,34.26101215135956,3,True,False
119,282.64063216371466,39.106927493466344,3,True,False
120,289.25155209570903,34.93510097489758,3,True,False
121,259.7306792112391,32.55980182103379,3,True,False
122,303.2853120557539,37.44643981953837,3,True,False
123,274.8684488961419,27.349646015829993,3,True,False
124,-37.404044579585694,8.371660484753331,-1,False,True
125,309.11573861310774,41.62418674244041,3,True,False
126,276.2418633340102,37.9051497090299,3,True,False
127,184.20104881330582,42.31386093509903,2,False,False
128,281.0393955778205,37.55154661940469,3,True,False
129,13.298417714133045,57.4309488034145,-1,False,True
130,-8.50358122310427,48.53977081457639,-1,False,True
131,281.42479273921924,33.944497965493994,3,True,False
132,-26.691769247924736,39.729445087811854,0,False,True
133,272.14590361319506,26.46550714847039,3,True,False
134,314.88713372163556,43.213159095675394,3,True,False
135,301.3848163757674,25.671555038513432,3,True,False
136,289.73947899556896,52.17013226328108,3,True,False
137,-54.98716754699109,37.87003195784106,-2,False,True
138,323.3694088924755,44.35366424507239,3,True,False
139,-80.49853512989532,37.00996819046697,-1,False,True
140,369.37213637457324,38.617587621514645,3,True,False
141,295.6294915633914,58.3746526598656,3,True,False
142,308.8081610440775,51.0841627930328,3,True,False
143,338.937266226102,37.91522035088246,3,True,False
144,316.47798288820366,30.21387430776761,3,True,False
145,324.1379917163477,50.42578904063128,3,True,False
146,297.24012806924804,45.42752722676987,3,True,False
147,281.79302655527584,56.97150282272455,3,True,False
148,285.7135506113408,17.497628280456105,3,True,False
149,-77.84023062859838,34.44005923830496,-2,False,True
150,306.05185532151296,49.367359897441595,3,True,False
151,133.15388122522864,50.671387192888325,1,False,False
152,321.6834349304187,36.43764202158202,3,True,False
153,311.1593607109569,35.37131443055957,3,True,False
154,276.6268096100713,26.087309145142456,3,True,False
155,278.89633762458016,43.439451918655195,3,True,False
156,295.022865658976,51.06188214652327,3,True,False
157,368.7464478084431,39.35560117406392,3,True,False
158,298.9426293537513,40.74443397252135,3,True,False
159,274.0096535499507,30.449502434698033,3,True,False
160,273.8729657114634,22.006175211895552,3,True,False
161,287.9581013127998,35.489055866415704,3,True,False
162,279.2904680119486,36.18289981547878,3,True,False
163,325.29549599248753,51.45653473412598,3,True,False
164,271.63660355522757,53.26281577504493,3,True,False
165,299.33033335328855,36.37963332699864,3,True,False
166,286.83718309762423,36.95063158814389,3,True,False
167,291.0799554584998,30.79128458059986,3,True,False
168,280.78610128041373,35.716013650854876,3,True,False
169,303.6937623088226,45.32337386811237,3,True,False
170,265.67500723383296,32.276435599087755,3,True,False
171,291.96602134510596,32.522661718951795,3,True,False
172,325.8834195040619,28.151072638096316,3,True,False
173,349.8436480017719,42.228076125212034,3,True,False
174,325.50491725075324,49.55509092893023,3,True,False
175,292.5740751646657,19.967886741532578,3,True,False
176,293.4509184681557,45.30739353810021,3,True,False
177,313.8133042109934,45.369175882757496,3,True,False
178,278.9967568813547,22.43139504681299,3,True,False
179,260.32263948806155,38.111994109229215,3,True,False
180,120.92962395017769,72.83231427800828,2,False,False
181,272.623751578076,43.5883022643551,3,True,False
182,330.0922110317997,40.27895842128445,3,True,False
183,312.4370679399231,40.614018014611474,3,True,False
184,-35.71434693456906,25.78969430682111,0,False,True
185,-52.558842572258854,23.93169296294297,-1,False,True
186,292.5120537305887,19.719966062636193,3,True,False
187,309.30233487019814,59.114921503299605,3,True,False
188,281.2155730883534,30.029549286018728,3,True,False
189,303.4291675084261,48.531294703134726,3,True,False
190,313.21333214333094,31.661478367653455,3,True,False
191,269.9942575357999,29.668596312159664,3,True,False
192,281.21142524358135,49.38698042583889,3,True,False
193,262.52232923526367,18.34964077316989,3,True,False
194,331.90164180946357,47.80355128052392,3,True,False
195,275.573719318032,34.79514186397251,3,True,False
196,285.35813327260246,60.61350401201959,3,True,False
197,193.8258977346303,61.89215880966399,1,False,False
198,297.65644090732275,43.887335664686965,3,True,False
199,298.1456471815443,34.62772641842754,3,True,False
200,289.01071458384115,29.38300991438741,3,True,False
201,292.7618114935585,44.91585030034203,3,True,False
202,292.4719627462486,35.37506262735472,3,True,False
203,285.4746056516606,46.92094888838262,3,True,False
204,313.55801151722846,45.447626906995,3,True,False
205,291.82401601224734,27.449792041281043,3,True,False
206,-104.82568700433107,11.989728258179964,-1,False,True
207,330.94542812671466,42.10028186886777,3,True,False
208,347.6550562788966,36.20574575437222,3,True,False
209,322.82203650353694,34.69414284431656,3,True,False
210,267.0326936637738,52.307475266829705,3,True,False
211,294.24204768096774,34.308449250485005,3,True,False
212,336.4307342534064,45.273790999091666,3,True,False
213,320.2392642718992,44.00437483380528,3,True,False
214,284.89757931634506,31.57007983370343,3,True,False
215,285.621800547967,48.78223827810286,3,True,False
216,277.20985593641933,22.166038877624135,3,True,False
217,277.6162153481873,43.36634819783136,3,True,False
218,271.903851336249,30.31917296154195,3,True,False
219,320.0181673822025,56.76615070243184,3,True,False
220,296.64519641383833,38.55628471111103,3,True,False
221,299.07316503935806,45.38170469590939,3,True,False
222,292.9949704947039,43.34651205206867,3,True,False
223,300.8619118772978,32.75194957905586,3,True,False
224,354.98361718387497,39.31824397446241,3,True,False
225,322.7165332775894,50.57845682175622,3,True,False
226,274.90021580815073,34.67723119421199,3,True,False
227,329.0350377348748,41.0443145243138,3,True,False
228,327.54724979026156,38.80479413857814,3,True,False
229,270.9871910892492,32.91937085005582,3,True,False
230,273.27483198155403,28.185763087075898,3,True,False
231,279.9614869612949,41.31278352895972,3,True,False
232,126.27213438758046,58.753712905339384,2,False,False
233,295.86473222484267,47.23518560869494,3,True,False
234,-24.569362134560805,29.20733446466361,-1,False,True
235,285.0245037802813,35.22930322690701,3,True,False
236,-14.424728617529524,28.509217754680193,-1,False,True
237,273.17929946804344,32.75806390504042,3,True,False
238,278.96579103321096,25.853645770392557,3,True,False
239,279.8074303530276,48.76122157848719,3,True,False
240,323.6304732437699,37.97252726258408,3,True,False
241,266.34667423221055,20.09636931147592,3,True,False
242,280.7942230498819,37.457272423863834,3,True,False
243,292.3185622019771,29.453977772034694,3,True,False
244,278.80493698778633,26.278644826283713,3,True,False
245,275.18062040675727,37.52334155388674,3,True,False
246,315.32456911916876,42.34737137068521,3,True,False
247,318.4553106339812,52.838532804788265,3,True,False
248,301.25550086273444,39.85246554335802,3,True,False
249,282.27727679434395,33.350799433813755,3,True,False
250,272.3985803268364,19.23634636632798,3,True,False
251,275.63726109936385,23.122890907692614,3,True,False
252,300.3700849852915,37.25841922007172,3,True,False
253,-82.0885069715336,36.63125927758987,-1,False,True
254,268.88530987885554,34.07656199593945,3,True,False
255,291.6084225496697,30.84678481919902,3,True,False
256,279.0394112252535,39.83249179415939,3,True,False
257,281.5613259796803,37.146823620991704,3,True,False
258,269.7543318289536,35.74132685931869,3,True,False
259,336.17086092162515,48.547888305022006,3,True,False
260,386.28717972174763,57.497352537733704,3,True,False
261,285.59740846995635,24.717003000494902,3,True,False
262,295.4431903868235,69.28111508454384,3,True,False
263,358.8712780990749,40.78401244213335,3,True,False
264,271.9177511119488,30.37250016388337,3,True,False
265,277.36316771033177,46.41666842325467,3,True,False
266,314.40608675016614,42.82265168942523,3,True,False
267,301.7277381331431,25.47157509006356,3,True,False
268,283.56909200810793,41.56488789137966,3,True,False
269,290.39427529223747,34.94806747044675,3,True,False
270,291.46442934017074,30.36166852091192,3,True,False
