episode,score,target_score,sum_dones,env_done,collision
0,292.6819283377842,38.30607965966547,3,True,False
1,296.4755069026344,30.940512187417003,3,True,False
2,317.2021935962863,58.503961223788004,3,True,False
3,278.59348346691934,29.43760958639878,3,True,False
4,283.8853303560893,30.406836245405035,3,True,False
5,96.41819439163085,47.48344916546096,2,False,False
6,285.1952170054324,22.92111426022974,3,True,False
7,307.40753497139366,49.00003381692126,3,True,False
8,-64.2970938896323,48.77534141421346,-1,False,True
9,309.40150376850943,45.25290916213651,3,True,False
10,339.7090190722521,40.584492530073305,3,True,False
11,282.6970240407362,25.57589820880488,3,True,False
12,324.85023204442615,47.881199364440754,3,True,False
13,318.0847137329725,28.909796243881175,3,True,False
14,-70.63348594304878,41.023017920664145,-1,False,True
15,302.15293829277306,33.17846204003627,3,True,False
16,291.09646921932915,49.83359199335952,3,True,False
17,311.2895342728999,45.5270432264657,3,True,False
18,313.8749680263917,38.485909497238865,3,True,False
19,324.67015728252926,31.5782038199905,3,True,False
20,400.1931801342039,56.168933584331924,3,True,False
21,338.2771173814923,62.49989114085092,3,True,False
22,327.53077174961686,30.03579474002269,3,True,False
23,-43.63339073605469,27.137312222696384,-1,False,True
24,322.01785623903584,52.557130131695,3,True,False
25,296.806415942426,46.86315387641452,3,True,False
26,273.7523412952866,25.716273565220654,3,True,False
27,345.79510579357964,49.625297414104246,3,True,False
28,-37.10306882280219,24.87090757803517,-2,False,True
29,293.7987776730239,37.703171967897944,3,True,False
30,-22.485399985073016,42.258340137818976,0,False,True
31,329.3517515270889,38.97246318772799,3,True,False
32,310.98674655848595,50.05682417814152,3,True,False
33,320.45109543314857,43.13196272661099,3,True,False
34,289.5361558589652,22.841466015936,3,True,False
35,284.81851777705936,33.88067174371688,3,True,False
36,281.96110001882226,30.222787675294697,3,True,False
37,313.43569853290523,57.626094378784806,3,True,False
38,283.95499791606437,37.060310925011514,3,True,False
39,316.48657482560503,50.57495483148397,3,True,False
40,295.2010733106763,45.12451910313008,3,True,False
41,340.3647912493389,56.13116033297275,3,True,False
42,285.47350802410756,33.26045114571659,3,True,False
43,274.29913494627493,36.9890964211712,3,True,False
44,332.143801246681,48.69518980214185,3,True,False
45,335.1601778291383,32.30464192115466,3,True,False
46,295.12537996179105,41.68795087633961,3,True,False
47,291.59334873139477,37.73580619743705,3,True,False
48,-66.93959952854414,36.692366607545466,-1,False,True
49,286.86965478283844,28.802948267096966,3,True,False
50,309.038525549025,30.47900195434898,3,True,False
51,283.0966199807027,39.53229999564347,3,True,False
52,271.3311831090118,28.38858880542498,3,True,False
53,292.29706594613504,44.61475025989277,3,True,False
54,104.18181608680237,60.530763170170445,2,False,False
55,288.51219615802523,43.27984798173954,3,True,False
56,324.5823218422921,28.688376366723066,3,True,False
57,-50.50723222381815,25.19675649274145,0,False,True
58,291.1832247443748,47.066614817671876,3,True,False
59,283.1614967813793,42.37872239185861,3,True,False
60,293.6267158138832,36.64661481640885,3,True,False
61,-83.18523778594536,30.422307015264717,-1,False,True
62,324.3945997028015,34.33150601439346,3,True,False
63,315.22036066618216,46.57508897673276,3,True,False
64,-110.09227332992326,22.964772731608733,-1,False,True
65,-91.89956275225418,32.26122044986667,-2,False,True
66,-20.03895153948811,23.187010135950153,-1,False,True
67,290.27802565031755,27.368574825057745,3,True,False
68,336.6595300672906,41.21795781175878,3,True,False
69,292.23753624764674,30.895187911461854,3,True,False
70,-7.89674774430366,42.5546914906238,-1,False,True
71,-75.66340750287057,33.461839739041665,-1,False,True
72,320.17690849512576,53.3959850498718,3,True,False
73,289.82023982329787,45.719348909798356,3,True,False
74,278.4187373595131,30.20781213583929,3,True,False
75,282.1223857052321,37.35289277886718,3,True,False
76,294.3486097404997,32.96984780145687,3,True,False
77,-53.30078525337297,25.66253677113535,-2,False,True
78,309.7839148336708,27.16609927987384,3,True,False
79,314.34927066414247,27.0825501223114,3,True,False
80,301.94773266726867,57.06397760330719,3,True,False
81,293.6620299508968,42.570631498940934,3,True,False
82,313.86185982269467,37.17396988033472,3,True,False
83,378.35601634176277,55.76426343739824,3,True,False
84,-77.04472405183955,31.597921590245534,-2,False,True
85,307.0780826582961,32.63912351491954,3,True,False
86,277.02610286718465,45.05211077061839,3,True,False
87,298.69003129716305,37.51185243662518,3,True,False
88,-75.08418382914935,42.29391794920015,-1,False,True
89,267.105009061847,34.19996632039124,3,True,False
90,291.47625035722626,41.35072207316149,3,True,False
91,290.28938420437544,38.90304061967401,3,True,False
92,348.2149102063734,46.55797669008723,3,True,False
93,278.1486755258158,43.05605004525064,3,True,False
94,134.7772245518116,61.59314187545,3,True,False
95,285.2350948406735,33.18005379696399,3,True,False
96,310.5925595783258,35.283491211533665,3,True,False
97,311.03661725406323,21.210292724834083,3,True,False
98,313.0881403821449,36.736857662656135,3,True,False
99,291.1258276266375,50.68840459415269,3,True,False
100,295.78661272500716,34.823553687838576,3,True,False
101,-79.01037932568312,43.01487362255642,-1,False,True
102,315.23668921277823,44.35072399600441,3,True,False
103,322.70608019260317,52.967964336273425,3,True,False
104,319.62976752231185,41.667688931312156,3,True,False
105,327.7018115414694,27.336461198403928,3,True,False
106,290.2838262966233,31.377854440885034,3,True,False
107,-35.509776895428416,46.020343281054146,-1,False,True
108,288.2310795522466,42.115962748639895,3,True,False
109,293.43645076875396,40.83179268193743,3,True,False
110,209.27062227470623,53.03692533879713,3,True,False
111,-55.6840324892695,13.109410061359917,-2,False,True
112,349.67387797714446,36.994914863918076,3,True,False
113,288.970997102603,35.276487799379936,3,True,False
114,353.0132760553016,43.691419511119655,3,True,False
115,282.47385709802916,43.30612047829647,3,True,False
116,382.98921480643156,48.11769325716359,3,True,False
117,319.54166807031345,61.11964538579979,3,True,False
118,376.4589791752537,36.380364706078346,3,True,False
119,278.57621691018534,27.87909682120601,3,True,False
120,158.6832907663648,52.59607707328705,2,False,False
121,286.208596816006,49.25763287998438,3,True,False
122,299.7411562618686,32.887709237071036,3,True,False
123,314.6349821810628,34.33778159520489,3,True,False
124,295.12772302680867,29.866907360168177,3,True,False
125,309.8113724547018,37.97895473925398,3,True,False
126,319.1986598649798,38.25014912984972,3,True,False
127,342.79225358387475,48.69782201961085,3,True,False
128,287.7096688719313,29.34842940431013,3,True,False
129,-30.0371525755923,36.081307588766364,-1,False,True
130,-91.5290605359213,18.12682613010987,-2,False,True
131,-73.67384981438707,41.63454090934251,-1,False,True
132,305.65145088578566,58.06340546195212,3,True,False
133,296.3090634754479,42.118065265049445,3,True,False
134,-35.539578913960575,25.42275992141591,-1,False,True
135,284.87707578915354,31.395832458468494,3,True,False
136,282.3730396083657,41.325782781184046,3,True,False
137,290.97473531154446,34.63820570130589,3,True,False
138,-113.52835623604082,18.96301402367316,-2,False,True
139,-36.300707931421364,30.935097176140616,-1,False,True
140,326.024799320011,53.60671490770655,3,True,False
141,313.0928347719875,52.00078527959248,3,True,False
142,272.58218804021584,16.549556876813618,3,True,False
143,325.6036778869793,45.20751021663752,3,True,False
144,322.40390747151963,43.02617424304635,3,True,False
145,281.50576675135073,59.65144917052023,3,True,False
146,276.11540771623334,46.05608205633571,3,True,False
147,308.16618962586205,44.47110813422347,3,True,False
148,338.1018688505833,45.526632162963125,3,True,False
149,173.5560008232985,52.209029506257494,2,False,False
150,299.27148708499607,45.553243256932035,3,True,False
151,320.9995014343471,45.03550778411406,3,True,False
152,309.74773519438133,43.105754700508236,3,True,False
153,305.59961917688395,48.099505070622776,3,True,False
154,-42.11565660213816,53.213739201154105,-2,False,True
155,304.95753107378357,32.77028631564082,3,True,False
156,-71.25106386630839,46.75712839045041,-1,False,True
157,282.2349108282101,29.853754478991,3,True,False
158,-34.99537832787806,15.360934517196476,-1,False,True
159,281.0404811894854,51.683726281466996,3,True,False
160,312.74661721780683,49.81656871592672,3,True,False
161,329.9029142718579,45.650895383688656,3,True,False
162,293.6659538121619,42.16908373385386,3,True,False
163,334.3421727071458,40.704006462414625,3,True,False
164,-68.60394183860623,39.7309059494779,-1,False,True
165,328.8029947735445,55.50708017134987,3,True,False
166,331.7130410042196,40.38231216887007,3,True,False
167,121.76629035082415,47.9574790384178,2,False,False
168,-25.395545893056507,32.71906642198912,0,False,True
169,331.383524917517,57.066205357675905,3,True,False
170,324.84044101689165,51.00450988822555,3,True,False
171,346.28704369760834,33.84276657357582,3,True,False
172,267.5727393649594,32.479377832884026,3,True,False
173,284.3019899249812,34.196478744641894,3,True,False
174,285.26445665479764,46.71406642196538,3,True,False
175,364.6862183402267,39.067699556436466,3,True,False
176,-86.06239894646453,37.06562692743628,-1,False,True
177,304.2045786287951,42.135245904946686,3,True,False
178,316.7968668542146,28.55620887333548,3,True,False
179,303.357907460682,33.90304987015727,3,True,False
180,293.2002886966212,60.868625596785236,3,True,False
181,99.36957928456017,58.15316603805914,1,False,False
182,274.6861040835934,25.888071061214376,3,True,False
183,308.7080416454391,36.30182701159522,3,True,False
184,311.6929124430583,33.69661977656549,3,True,False
185,-52.45650099226818,16.244036869497428,-2,False,True
186,293.3097734677648,27.158378019203358,3,True,False
187,296.0261191403243,44.35592813938637,3,True,False
188,287.23626979339673,50.87902823113681,3,True,False
189,300.7281470813944,32.123893574584585,3,True,False
190,152.66932049057493,64.17661324522868,2,False,False
191,294.8939556930674,46.81594265128084,3,True,False
192,289.46549163407997,28.318316119947898,3,True,False
193,-63.53223635890462,33.769168284500196,-1,False,True
194,318.42226846483413,41.96386967355102,3,True,False
195,337.9435563353047,39.07906041626948,3,True,False
196,299.3586020226773,24.83645705374225,3,True,False
197,-1.4512876401800625,44.5624283586426,0,False,True
198,318.81422175525586,32.268144883995745,3,True,False
199,314.57653490200977,29.251379709142732,3,True,False
200,282.3389487896187,37.24596389193637,3,True,False
201,306.4353318171336,48.555702426652616,3,True,False
202,158.71554048738204,33.37489758141026,2,False,False
203,374.5251454616163,39.67414245407113,3,True,False
204,343.44245150975974,38.149340085583006,3,True,False
205,-48.08113303734845,24.256152292042664,-2,False,True
206,317.05415883876896,59.68724120237199,3,True,False
207,317.153074277878,35.122478047268785,3,True,False
208,328.7693839088579,46.93266587550696,3,True,False
209,399.41425540952685,45.01529445419373,3,True,False
210,-26.116865815762516,23.137450272526998,-1,False,True
211,280.4031539278367,37.655491847517254,3,True,False
212,301.48092072889636,50.714607073560465,3,True,False
213,284.76017951884694,33.88292393586788,3,True,False
214,-87.64434607307587,37.946999821781546,-2,False,True
215,351.4154949259762,21.38837068069476,3,True,False
216,312.4847733683712,39.90057708999134,3,True,False
217,284.7834492527867,38.85423424734465,3,True,False
218,-9.880139024327235,35.90655974756411,-1,False,True
219,349.35424052329967,63.898711979824945,3,True,False
220,304.51688877157994,30.1114782735926,3,True,False
221,306.04263525801736,54.744618323029115,3,True,False
222,319.77255244690645,44.58313476821621,3,True,False
223,309.8905533944075,39.8201347314174,3,True,False
224,311.77882531935813,48.05454324894378,3,True,False
225,307.3948247998307,29.586476383314643,3,True,False
226,-82.68508329317655,24.198488834463745,-1,False,True
227,293.2031902078886,22.196005203048713,3,True,False
228,309.88094977329627,33.05662553035571,3,True,False
229,304.3381247554686,52.370923803593406,3,True,False
230,328.50996623451556,39.07463944094418,3,True,False
231,296.0007819840612,38.64231736442798,3,True,False
232,317.5429076250051,43.47004386206462,3,True,False
233,284.75631106683045,39.90029795269191,3,True,False
234,288.74297037175194,60.70873419134677,3,True,False
235,302.74275428496475,52.87790921193388,3,True,False
236,337.90527855151873,30.2999922180171,3,True,False
237,316.02850390128174,47.39686124825258,3,True,False
238,318.74116690624805,30.61927093266974,3,True,False
239,340.22505773257546,49.226389650567036,3,True,False
240,316.9128921398334,57.11352418505798,3,True,False
241,315.9210593916073,39.181256893334,3,True,False
242,301.1881133760755,35.980607418100604,3,True,False
243,291.84359358930294,32.98359493382064,3,True,False
244,286.4817328081281,45.86472090804613,3,True,False
245,300.42172143201225,30.116009984099684,3,True,False
246,282.15205663115023,49.15559460004478,3,True,False
247,288.3740522306824,38.51104024489509,3,True,False
248,320.9415197062979,42.5984880144321,3,True,False
249,-50.12566222461344,14.3240980724454,-2,False,True
250,389.1586491566603,45.32805034324374,3,True,False
251,282.8814002412415,33.6911531052714,3,True,False
252,285.8027554910914,25.33306198087235,3,True,False
253,-39.15996594832272,45.58656197890862,-1,False,True
254,337.10252821162806,54.65054644132748,3,True,False
255,294.55816698979874,42.64886177419311,3,True,False
256,40.81427339026341,59.912506380164736,-1,False,True
257,337.6631727580202,24.351862930833992,3,True,False
258,289.17703823188066,44.31085262397906,3,True,False
259,110.21255833828461,61.591603921825815,1,False,False
260,272.7273439218015,29.098731919242464,3,True,False
261,-34.699107502825235,38.5269542422229,-1,False,True
262,-89.58665554387022,35.27169461425611,-2,False,True
263,319.42164489252946,65.33072782888986,3,True,False
264,-38.05435684395927,36.542631323107464,0,False,True
265,161.4045986536592,43.77912761334348,3,True,False
266,305.15018261689283,35.1055077749554,3,True,False
267,-43.78284530363639,32.12221788884448,0,False,True
268,329.3712013693545,46.48180074536592,3,True,False
269,325.31302234410975,40.00844767967965,3,True,False
270,328.6682921959988,60.94764006849579,3,True,False
271,305.002850959909,47.16424182478544,3,True,False
272,307.908231059381,37.29387453585607,3,True,False
273,357.42495387548075,52.262653581971996,3,True,False
274,308.2888350717052,57.662244487757114,3,True,False
275,316.8468136546944,36.766174779826194,3,True,False
276,284.8248307703376,45.013938734518355,3,True,False
277,336.8289562577892,48.16386019652402,3,True,False
278,314.94069731204985,59.62516820183354,3,True,False
279,-25.972742111155313,45.65643311096055,-1,False,True
280,-6.166518831530219,38.48398157397875,-1,False,True
281,345.56016051061636,56.912130643000985,3,True,False
282,281.2450071113997,21.67396156133243,3,True,False
283,283.27758377002385,24.170489381167975,3,True,False
284,327.2604325110734,50.62329653521549,3,True,False
285,291.4315753784305,43.62231020410354,3,True,False
286,279.33018652469457,35.079496696620105,3,True,False
287,312.62753371889323,65.30303464751113,3,True,False
288,-36.265457818829915,26.201114556795726,0,False,True
289,277.1894220311989,17.621665063566915,3,True,False
290,302.4956644206169,40.28345945540866,3,True,False
291,290.244060143863,55.13207703179257,3,True,False
292,313.5920547433233,35.22855835897069,3,True,False
293,297.8082025947258,37.9718470017703,3,True,False
294,115.49858467072357,35.959088913368795,2,False,False
295,334.1348507666261,36.71618582573096,3,True,False
296,-89.02002591057385,29.240965108418447,-1,False,True
297,330.3865383437072,50.68085182744985,3,True,False
298,301.89551378867765,35.54408439505499,3,True,False
299,315.45132691958895,43.48112551226788,3,True,False
300,289.9491996692795,47.33036004947713,3,True,False
301,301.14034096600136,29.715936717072537,3,True,False
302,317.65535334643135,29.711076923146482,3,True,False
303,296.55160899528886,46.82239980891598,3,True,False
304,-27.69300955825333,37.08408326284282,-1,False,True
305,292.74824830552427,35.01713998580649,3,True,False
306,286.9181393967641,32.017479027694094,3,True,False
307,303.4544116456507,44.95339544843852,3,True,False
308,317.34519950870686,33.28694504894906,3,True,False
309,292.9809946768839,34.791212840628205,3,True,False
310,314.56852878307086,33.82081057481635,3,True,False
311,98.31765076332444,71.76171497795235,1,False,False
312,337.39111742485534,30.333660360457316,3,True,False
313,309.71182953869436,26.795161998304536,3,True,False
314,289.07179081359675,39.62473260785302,3,True,False
315,-59.282653043872635,44.141516030954314,-1,False,True
316,303.5435736056991,58.18007107038452,3,True,False
317,279.1125690279668,30.707069214317507,3,True,False
318,288.6999079495446,42.21867933646229,3,True,False
319,-4.091063260669152,32.91943884437006,-1,False,True
320,-83.86057472552284,35.2295572314017,-1,False,True
321,328.8328735182362,38.5624334064998,3,True,False
322,328.5508045111767,45.675502471621435,3,True,False
323,-40.33419523704376,28.065448336409,-2,False,True
324,323.18999326716437,39.78764520848137,3,True,False
325,318.37336316091137,43.0424887830514,3,True,False
326,147.50198139458053,64.25130826286006,1,False,False
327,280.5500760404936,29.701289991318813,3,True,False
328,310.71212489228094,39.275450525363965,3,True,False
329,280.9645911805213,21.39646752331332,3,True,False
330,292.9192805540065,40.090993805727805,3,True,False
331,349.6850607380758,42.1017368967485,3,True,False
332,311.57761252021606,47.15520390331909,3,True,False
333,296.6697113156428,39.81059801171457,3,True,False
334,325.1502231074523,26.190330927015555,3,True,False
335,-45.620943103688674,22.28614519090842,-2,False,True
336,113.01257107946734,69.14164978846667,1,False,False
337,17.212569795249138,39.76637594004626,0,False,True
338,306.90035875925827,32.16287761135449,3,True,False
339,-69.9523895867278,33.08888882801145,-1,False,True
340,-89.32302270324809,36.41855395749303,-2,False,True
341,315.36174792128816,31.83684058264596,3,True,False
342,74.07984296603854,71.69067797521912,1,False,False
343,282.78471418935874,16.83564609764444,3,True,False
344,305.9998539774026,57.284642665397904,3,True,False
345,295.21095191852277,29.970078337453575,3,True,False
346,-28.154247178987653,24.71072700705568,-1,False,True
347,323.2749993587376,39.181112785264865,3,True,False
348,281.99740482629943,40.01907427738532,3,True,False
349,298.9960043529155,53.12778377065769,3,True,False
350,-29.620074706959223,30.539306356268945,-1,False,True
351,288.9614628145515,61.384896391445835,3,True,False
352,-60.98620057563407,38.95094522846214,-1,False,True
353,293.49210726931545,33.34459481829948,3,True,False
354,329.94237521747993,32.248338511766995,3,True,False
355,302.33708053405405,50.45740655951354,3,True,False
356,-27.4998588593441,32.58667263056614,-1,False,True
357,296.86284152606356,29.63738920141659,3,True,False
358,300.54616798086266,31.334542999569596,3,True,False
359,331.3342652407521,31.993850949659738,3,True,False
360,-41.94310197811044,37.65438050287251,0,False,True
361,290.79171331173814,39.455400109431885,3,True,False
362,311.70856241193223,40.9971370494751,3,True,False
363,-44.708782943136285,44.445981288272264,-1,False,True
364,-16.16021863308177,33.365455131406435,0,False,True
365,-62.32004001819503,32.62684792299227,-1,False,True
366,345.97583497886944,40.50176229922109,3,True,False
367,301.85940639860723,29.639767958799023,3,True,False
368,-74.99816011297935,29.986586138423444,-2,False,True
369,309.9456504224012,34.21065453679119,3,True,False
370,286.7389435099012,34.95005477710001,3,True,False
371,300.8593560079859,38.79598202874503,3,True,False
372,321.90648921336924,26.372613729983055,3,True,False
373,290.4020400062236,42.787115221221335,3,True,False
374,294.6053399556692,33.20048954239102,3,True,False
375,-44.42730475234202,20.95560225713021,-1,False,True
376,306.8214711697772,50.78248390691829,3,True,False
377,339.81345831203106,30.91856009779839,3,True,False
378,327.58842082415526,34.75958223132078,3,True,False
379,281.47468562599107,33.370069933136065,3,True,False
380,302.8084150955084,17.60117028703416,3,True,False
381,301.31602512850975,30.619279837875258,3,True,False
382,295.97595827520746,25.36611536101783,3,True,False
383,287.783244101225,37.8139820291584,3,True,False
384,293.41558678225914,46.277197298531135,3,True,False
385,-26.150774069538897,34.70102297121634,-1,False,True
386,341.7726423539468,39.36844483864001,3,True,False
387,297.24833267852813,61.40170279884786,3,True,False
388,281.635917202388,29.081537801738108,3,True,False
389,289.70857729375774,32.644068500354656,3,True,False
390,302.0776937174546,50.511953517013616,3,True,False
391,-71.00160775347662,52.93066470245432,-1,False,True
392,124.29932961198581,46.83181520622524,2,False,False
393,316.48202092369627,33.043761189708256,3,True,False
394,-95.7055164075341,30.209992199820462,-2,False,True
395,-41.00392152094167,19.507319430272464,-1,False,True
396,274.3390095919638,38.54798958585072,3,True,False
397,306.3452079220623,42.52925108893196,3,True,False
398,-39.04206408953656,37.83428685340499,-1,False,True
399,299.164319666468,48.920091336593146,3,True,False
400,297.1426628963803,29.610517127751788,3,True,False
401,284.7047132019611,26.91068298331714,3,True,False
402,170.7223447070284,30.013575814174303,2,False,False
403,275.170517241463,17.118346865055408,3,True,False
404,336.62245739649006,35.26115536445213,3,True,False
405,-62.53208805798719,36.74767427698276,-1,False,True
406,299.37288656379104,49.53094862610586,3,True,False
407,291.4026036947956,29.137064818261027,3,True,False
408,312.82692248289356,42.08453811850652,3,True,False
409,304.61768339004476,57.558762251227904,3,True,False
410,-44.92376934488688,16.716478485592805,-1,False,True
411,288.08640303474937,40.17126323008602,3,True,False
412,294.11657394722045,48.07181147567242,3,True,False
413,289.31254201200335,42.334329893623156,3,True,False
414,295.0190520172168,43.5182726519927,3,True,False
415,-82.72510104495777,52.42670148389958,-1,False,True
416,279.73230347738007,44.664899322470696,3,True,False
417,368.27419347611664,31.600029650854815,3,True,False
418,303.787663898154,67.71893096451157,3,True,False
419,310.1056027006654,48.11492253035075,3,True,False
420,285.83756591256275,53.51577201908411,3,True,False
421,319.91356075940485,62.59523487608793,3,True,False
422,-23.244494373533264,24.089839917167453,-1,False,True
423,319.9096382199812,32.536233043196624,3,True,False
424,300.41415330094424,44.30540784920753,3,True,False
425,322.10858794094565,50.1242854129491,3,True,False
426,313.11012329585503,39.862320887967904,3,True,False
427,294.6921627428013,51.29046613174675,3,True,False
428,306.14703566253695,51.4557918205763,3,True,False
429,375.68624623744506,26.987660525826243,3,True,False
430,289.5192616492615,45.62625993296928,3,True,False
431,311.3467596686854,36.451753684397325,3,True,False
432,284.76520334034353,37.93916895578244,3,True,False
433,295.81276486899685,53.423270052754035,3,True,False
434,-52.99850091654841,10.749526515361554,-2,False,True
435,305.00531779614164,34.26178504985029,3,True,False
436,281.11307874134695,37.749171457728735,3,True,False
437,297.19702376043995,33.305773265512656,3,True,False
438,279.3666074886177,38.73868488314685,3,True,False
439,302.7091235391914,34.95708593859352,3,True,False
440,298.6366755629414,36.6522566524051,3,True,False
441,308.65457618047645,28.874191051866777,3,True,False
442,275.60200210889826,34.646336344131186,3,True,False
443,315.74346119902975,53.28432917095269,3,True,False
444,-39.14198223740564,30.34666431554757,-1,False,True
445,429.74612380691957,28.05525676321765,3,True,False
446,196.57961103014912,68.85332959344555,3,True,False
447,282.70203486617777,19.150480314034393,3,True,False
448,292.60291912675643,44.52334444410142,3,True,False
449,316.46228902458,38.184500490045934,3,True,False
450,284.5525218978904,35.25410805325617,3,True,False
451,288.21885302022076,44.298561607717794,3,True,False
452,346.4575341396108,43.76008142825419,3,True,False
453,-35.9731121184334,43.21163409685457,0,False,True
454,321.96463937993394,45.413914143232695,3,True,False
