episode,score,target_score,sum_dones,env_done,collision
0,354.9387922648103,56.13225774927308,3,True,False
1,-39.94980153881706,25.88884434117972,-1,False,True
2,312.81702498112526,69.8255919828586,3,True,False
3,323.70178869823144,48.661000459822134,3,True,False
4,7.55401518848943,56.48833557773961,-2,False,True
5,355.3978776048941,63.710064251306186,3,True,False
6,318.7972605745781,63.54518656711903,3,True,False
7,313.8309632857339,58.097815090454986,3,True,False
8,329.88324322609606,49.975441329334316,3,True,False
9,-37.71044731548925,63.317516395743965,-1,False,True
10,313.5894313277452,50.31748600609788,3,True,False
11,282.0452629950531,94.29461176589051,1,False,False
12,-23.329226159145442,34.15044501266899,0,False,True
13,283.4046636379548,62.625747098088766,3,True,False
14,-47.411313888895904,30.630264122271523,-2,False,True
15,304.97639705283524,66.61229990528618,3,True,False
16,281.9558504993147,29.700304209125136,3,True,False
17,337.0303683512888,63.110138819314855,3,True,False
18,339.0231302183868,61.54241628157939,3,True,False
19,-67.9427739961905,34.94654942088095,-2,False,True
20,204.7263685663922,60.09459141630114,2,False,False
21,303.3142642222086,40.103912470083316,3,True,False
22,307.26424607296514,58.60550811532299,3,True,False
23,332.9981305740589,61.36123457453918,3,True,False
24,354.43281945778216,57.15740215888858,3,True,False
25,295.8647915345416,30.78792411279587,3,True,False
26,330.0259277023883,65.65076975394146,3,True,False
27,316.16402410762146,64.91106206848707,3,True,False
28,-54.727150765624714,17.43142732686606,-1,False,True
29,342.4493791932914,40.77075318954081,3,True,False
30,333.19389669587065,54.59724068724322,3,True,False
31,318.5933921380905,48.440174472987465,3,True,False
32,286.2528078465524,38.76846717589476,3,True,False
33,331.41751524902793,73.15851310643305,3,True,False
34,235.0584419693254,123.26369736628185,2,False,False
35,375.8383315372464,100.56017303331345,3,True,False
36,-85.06486690619535,24.326780090112955,-2,False,True
37,-130.0426860019309,1.4206970520874327,-2,False,True
38,-50.549924792366454,20.457562115736163,-2,False,True
39,338.2164395232845,60.408023352971796,3,True,False
40,386.5274163558763,84.28601871293826,3,True,False
41,-87.96879962432331,37.62444651752836,-2,False,True
42,302.9650236298328,60.86379189756268,3,True,False
