episode,score,target_score,sum_dones,env_done,collision,steps
0,28389.9962852778,103.17086895683255,3,True,False,201
1,35642.32094318409,87.01297940115043,3,True,False,201
2,-79.89092140635123,49.721829214811905,-1,False,True,107
3,-58.0828681432956,9.297945188502812,-1,False,True,7
4,23030.397652793912,96.86801858482154,2,False,True,174
5,1879.3149674187393,45.40376175095516,3,True,False,66
6,34175.92502265608,110.02481727891134,3,True,False,201
7,22156.82126853024,119.78857745003616,3,True,False,201
8,20115.227768052406,90.59312651876755,3,True,False,201
9,11104.121491595059,84.68627140641692,3,True,False,120
10,5074.13230229128,61.045822737936106,3,True,False,114
11,26806.04815515513,100.24952927069315,3,True,False,184
12,-78.94026000584672,53.52575556363169,-1,False,True,71
13,12749.427053833662,52.41681285899904,3,True,False,130
14,31042.880506942958,92.61114129413174,3,True,False,201
15,29871.484031271775,70.69741973841117,3,True,False,182
16,30097.087252865644,113.22999141066835,3,True,False,201
17,-85.83145432777616,74.21965367971269,-2,False,True,82
18,39678.80652672402,108.49118494236548,3,True,False,201
19,32709.62675273701,87.99269519285059,3,True,False,201
20,25835.823270014655,100.41543635767965,3,True,False,170
21,37282.164370176506,102.91318113720925,3,True,False,201
22,-57.35130172430171,17.350318299181975,-1,False,True,41
23,30707.69173934581,93.2379896495502,3,True,False,201
24,22.73697056025523,42.87004524869188,-1,False,True,71
25,6432.549819220048,34.67266186762394,3,True,False,78
26,4736.1570570019685,81.92749743038847,3,True,False,191
27,61.387989749620374,59.84824136522977,-2,False,True,165
28,29091.449575582352,85.21458523889962,3,True,False,201
29,22085.990710827413,94.51143103593103,3,True,False,201
30,17647.94580795623,52.37254661897736,2,False,True,123
31,-54.615018900797956,43.383871793685216,-2,False,True,56
32,-72.46154107351322,52.077047475148625,-1,False,True,53
33,23950.057461235898,58.728923969414055,3,True,False,201
34,31395.411270834764,50.81601648277689,3,True,False,201
35,3835.4018474438126,115.11478004339745,3,True,False,201
36,-37.55402611163396,65.23263574808844,-1,False,True,78
37,9435.740314949111,73.22051654161625,2,False,True,158
38,105.97242202146187,39.30987106423119,-2,False,True,194
39,32000.90271257024,111.19340422176369,3,True,False,201
40,32620.42340131678,90.04521506569708,2,False,True,182
41,6571.362541654605,56.41248187601449,2,False,True,130
42,19829.244509684726,82.78407890743821,3,True,False,158
43,6741.960020291792,82.2544241448733,3,True,False,120
44,13253.885432868641,48.712628941616714,3,True,False,149
45,3342.0520775162245,69.98459850486293,3,True,False,73
46,26682.087159805084,101.11982851557984,3,True,False,201
47,7217.100321785894,71.811174976288,3,True,False,113
48,20993.53109288341,82.64624068425718,3,True,False,146
49,22103.87252524938,95.91973930730737,3,True,False,201
50,76.86965644575028,67.76958596614585,2,False,False,201
51,37058.09142764412,95.5017318161236,3,True,False,201
52,3549.8526588704863,56.85278220685485,3,True,False,71
53,133.86515652413166,39.07531874968536,2,False,False,201
54,8686.649010127889,52.5741014011614,2,False,True,106
55,28303.749025171466,78.83695571520384,3,True,False,201
56,35127.20065713022,116.99717012086363,3,True,False,201
57,-67.38541035424883,25.050855995582104,-1,False,True,43
58,28192.22868659486,120.05011238471818,3,True,False,201
59,35840.46017920214,85.8261348023528,3,True,False,201
60,2186.6685326939537,54.047997597302015,3,True,False,120
61,28928.59276448537,96.93465361841108,3,True,False,201
62,15838.352713043178,87.94073078238839,3,True,False,201
63,10382.934031721003,44.436597846623876,3,True,False,112
64,160.47826308896344,41.232770833866866,2,False,False,201
65,37739.23590339566,94.91559379035249,3,True,False,201
66,37989.06988932018,76.2823305817964,3,True,False,201
67,-26.21453281474792,41.90242098467036,0,False,True,57
68,-24.319871596012277,36.21823162191322,0,False,True,42
69,34622.787044646015,100.33891211143423,3,True,False,201
70,-113.4957739700647,11.699819489300225,0,False,False,201
