episode,score,target_score,sum_dones,env_done,collision,steps
0,5317.792110563614,55.84058505249868,2,False,True,86
1,7492.62825735463,34.69228473114737,2,False,True,70
2,18907.033311406885,74.23731009528062,3,True,False,161
3,11461.006751078872,80.69004015669563,3,True,False,161
4,21545.153999497965,96.20095340069248,3,True,False,161
5,26669.905048218396,76.38333561538137,3,True,False,161
6,19429.824097990477,72.61941603366671,3,True,False,161
7,8063.967307013831,82.04692666692506,3,True,False,161
8,97.69175810163179,55.42428797827792,1,False,True,153
9,13705.780100146643,72.25564354918315,3,True,False,158
10,-11.564368219845647,43.287646251690454,-2,False,True,111
11,4098.1163717808595,36.77953335952466,3,True,False,89
12,19237.83596226862,85.99398743055873,3,True,False,161
13,78.70883818620858,59.091462036031494,-1,False,True,120
14,-89.39846257107538,60.24894207223672,-1,False,True,90
15,5347.261603014504,51.98390211810131,2,False,True,117
16,17753.34309460986,95.78966810002467,3,True,False,161
17,2653.3556760534957,39.984472872841096,2,False,True,56
18,1618.3242274585175,66.25555080390795,3,True,False,118
19,23526.328970265986,89.9120331255897,3,True,False,161
20,16471.733238418863,72.9328991226177,3,True,False,160
21,4088.115702586566,49.57654155075729,2,False,True,62
22,15314.197574652027,58.36878405861704,3,True,False,161
23,15954.271343089878,79.56277198657288,3,True,False,122
24,26895.398638336956,69.01689928341376,3,True,False,161
25,-42.68510558219267,26.694025525101697,0,False,True,40
26,17742.866094522862,101.71163952277222,3,True,False,161
27,-21.088044350130616,24.111676551727644,-1,False,True,63
28,-6.642647131301068,40.08167328971971,-1,False,True,112
29,-47.064229977850204,58.440646109518724,-1,False,True,79
30,26669.577646895574,90.16531496579897,3,True,False,161
31,8280.608299741592,55.490189658251055,2,False,True,119
32,-87.42343500355815,54.84777440204759,-2,False,True,90
33,926.6675810267308,43.63238906044752,3,True,False,83
34,188.48125115339604,83.3731186343379,2,False,False,161
35,-15.031796615456024,54.15271440904981,0,False,True,62
36,23797.130929409603,90.3489828094701,3,True,False,161
37,27364.434759711392,75.41489484876158,3,True,False,161
38,22060.52737562604,103.14004102534659,3,True,False,161
39,14660.12972588286,75.73717135549451,3,True,False,161
40,24976.102489149922,87.66970631191487,3,True,False,161
41,23519.810742770096,70.50252865180195,3,True,False,161
42,-63.67437568746979,47.811280433569266,-1,False,True,54
43,25924.530489927976,79.49752229100237,3,True,False,161
44,19892.503933906293,64.45762270726654,3,True,False,161
45,-55.857849079657996,14.727954676430205,-2,False,True,15
46,-65.58678167807916,0.6216446794224104,-1,False,True,8
47,9786.064434835527,108.27417535771973,3,True,False,161
48,30298.151199065804,85.85240550514503,3,True,False,161
49,23768.895845708495,83.39889186387256,3,True,False,161
50,25908.632739512253,75.69118026013959,3,True,False,161
51,22034.462316725596,105.14586374715937,3,True,False,161
52,27.0184053816158,40.315082273868214,1,False,True,92
53,19644.26752596527,109.36851407696794,3,True,False,161
54,22543.807642218682,70.52211174691224,3,True,False,161
55,26481.754605677925,76.5719099990632,3,True,False,161
56,26660.14474790556,93.40274363967389,3,True,False,161
57,30045.89132070226,91.17479230943785,3,True,False,161
58,1299.2432078859729,52.89521605656066,3,True,False,161
59,25713.858606476006,99.77204786509141,3,True,False,161
60,-128.91341712810936,4.68502695942496,-2,False,True,16
61,22550.809890734185,82.09335227902753,3,True,False,161
62,-92.39976166861128,34.74066090332265,-2,False,True,29
63,17010.20222177653,46.276109254059115,3,True,False,161
64,23756.16985109735,98.7496750364086,3,True,False,161
65,17466.19649492158,53.669315432595695,3,True,False,161
66,-76.64953699530079,52.46367496672812,-2,False,True,64
67,16780.667613258556,80.42461040242905,3,True,False,161
68,-13.549217570499927,41.46428084148077,0,False,True,72
69,21846.646337961167,110.06451833622644,3,True,False,161
70,17015.496552377528,77.87989520066184,3,True,False,161
71,19391.979260677734,72.38506543447049,3,True,False,161
72,27849.55998884272,94.58043218296405,3,True,False,161
73,9451.92366271758,42.592445949307965,3,True,False,161
74,-41.60297267119395,18.807229604117147,0,False,True,21
75,-71.20053176003492,50.29978714886056,-1,False,True,67
76,-7.6331494635811215,-4.72333654372194,-1,False,True,3
77,-35.926706732303124,32.97533853660008,-1,False,True,45
78,22101.57375936414,80.35597559819199,3,True,False,161
79,16304.350680698219,80.5938382473006,3,True,False,161
80,-61.84461645541726,28.794667937178552,-1,False,True,60
81,54.82773517408289,79.49765126890225,-1,False,True,133
82,-75.30759833426951,47.2152321816525,-1,False,True,90
83,22756.00252101181,88.6653664446733,3,True,False,161
84,-88.1247969335629,54.9840190851361,-2,False,True,99
85,28582.111278251934,89.57481382269,3,True,False,161
86,28573.20957767064,81.3732336664605,3,True,False,161
87,-60.73987622920259,0.8299535905619484,-1,False,True,4
88,19455.144287228184,89.88605939746918,3,True,False,161
89,-53.77298044273648,33.56257188943146,-2,False,True,63
90,-4.894859813148983,43.524927369272596,1,False,True,60
91,5819.649667227427,78.05315496924582,2,False,True,109
92,-53.01211179249129,19.770741439867102,-1,False,True,36
93,-17.37438550682087,44.86953975890604,0,False,True,63
94,-137.0140499437552,12.825673021842691,-2,False,True,84
95,179.59034619645035,56.47118038697586,3,True,False,161
96,24501.76086791515,76.34753140906308,3,True,False,161
97,14351.505616496617,103.45958696108256,3,True,False,161
98,9546.374760051327,64.83885763179482,3,True,False,161
99,-68.43846702466638,37.75049873502167,0,False,True,85
100,24950.958297151385,98.86602269807445,3,True,False,161
101,3558.5682585773225,48.13580236826155,3,True,False,80
102,16462.974843758566,72.2799233705562,3,True,False,156
103,21586.48946883429,74.2553415652122,3,True,False,161
104,21503.508279256203,79.69431251895838,2,False,True,144
105,-50.388519492233925,36.52673260356193,0,False,True,50
106,136.36115585000852,49.870981160729215,2,False,False,161
107,157.6325840694236,66.82082641588465,1,False,False,161
108,25421.23074337476,87.08108547488634,3,True,False,161
109,18020.555459546304,67.19525701128045,3,True,False,161
110,-10.00965053626463,46.03875511620622,-1,False,True,77
111,19882.493629129578,89.17677681531393,3,True,False,161
112,-59.0578272727221,5.120194965386847,-2,False,True,6
113,10570.717879206384,52.10172365994767,3,True,False,94
114,22.471357975165176,73.92101337583232,0,False,True,92
115,7975.6560419421385,58.3771476082189,2,False,True,123
116,-36.34925164414173,43.8715770737735,-1,False,True,44
117,18174.477484539777,48.00831817527532,3,True,False,161
118,743.3599044920045,47.61038502976425,2,False,True,114
119,4778.71355994841,51.24409860631215,3,True,False,90
120,-48.54746376604836,28.306416880582276,-2,False,True,29
121,-116.26000541979872,12.684316275566568,-2,False,True,10
122,-54.18206746037947,35.75956750994956,-1,False,True,47
123,-52.214817375401275,13.657061109848138,-1,False,True,32
124,22318.03723442733,83.13974483836576,3,True,False,161
125,27548.238094431523,38.02129393681414,3,True,False,161
126,17020.069828246647,59.117742458106505,3,True,False,161
127,24447.224082757664,79.93432643824883,3,True,False,161
128,7803.310162193952,90.08636520509057,3,True,False,145
129,22319.554282886875,86.90658341509297,3,True,False,161
130,15833.423941976578,83.35757516495885,3,True,False,161
131,10154.957119178816,54.40575661825756,3,True,False,103
